name,note1,note2,note3,note4,
C,C,E,G,
Cm,C,Eb,G,
C7,C,E,G,Bb,
CM7,C,E,G,B,
Cm7,C,Eb,G,Bb,
Csus,C,F,G,
Csus7,C,F,G,Bb,
C6,C,E,G,A,
C2,C,D,E,G,	
C#,C#,E#,G#,
C#m,C#,E,G#,
C#7,C#,E#,G#,B
C#M7,C#,E#,G#,B#,
C#m7,C#,E,G#,B,
C#sus,C#,F#,G#,
C#sus7,C#,F#,G#,B,
C#6,C#,E#,G#,A#,
C#2,C#,D#,E#,G#,
Db,Db,F,Ab,
Dbm,Db,Fb,Ab,
Db7,Db,F,Ab,Cb,
DbM7,Db,F,Ab,C,
Dbm7,Db,Fb,Ab,Cb,
Dbsus,Db,Gb,Ab,
Dbsus7,Db,Gb,Ab,Cb,
Db6,Db,F,Ab,Bb,
Db2,Db,Eb,F,Ab,	
D,D,F#,A,
Dm,D,F,A,
D7,D,F#,A,C,
DM7,D,F#,A,C#,
Dm7,D,F,A,C,
Dsus,D,G,A,
Dsus7,D,G,A,C,
D6,D,F#,A,B,
D2,D,E,F#,A,
Eb,Eb,G,Bb,
Ebm,Eb,Gb,Bb,
Eb7,Eb,G,Bb,Db,
EbM7,Eb,G,Bb,D,
Ebm7,Eb,Gb,Bb,Db,
Ebsus,Eb,Ab,Bb,
Ebsus7,Eb,Ab,Bb,Db,
Eb6,Eb,G,Bb,C,
Eb2,Eb,F,G,Bb,	
E,E,G#,B,
Em,E,G,B,
E7,E,G#,B,D,
EM7,E,G#,B,D#,
Em7,E,G,B,D,
Esus,E,A,B,
Esus7,E,A,B,D,
E6,E,G#,B,C#,
E2,E,F#,G#,B,
F,F,A,C,
Fm,F,Ab,C,
F7,F,A,C,Eb,
FM7,F,A,C,E,
Fm7,F,Ab,C,Eb,
Fsus,F,Bb,C,
Fsus7,F,Bb,C,Eb,
F6,F,A,C,D,
F2,F,G,A,C,	
F#,F#,A#,C#,
F#m,F#,A,C#,
F#7,F#,A#,C#,E,
F#M7,F#,A#,C#,E#,
F#m7,F#,A,C#,E,
F#sus,F#,B,C#,
F#sus7,F#,B,C#,E,
F#6,F#,A#,C#,D#,
F#2,F#,G#,A#,C#,
G,G,B,D,
Gm,G,Bb,D,
G7,G,B,D,F,
GM7,G,B,D,F#,
Gm7,G,Bb,D,F,
Gsus,G,C,D,
Gsus7,G,C,D,F,
G6,G,B,D,E,
G2,G,A,B,D,	
Ab,Ab,C,Eb,
Abm,Ab,Cb,Eb,
Ab7,Ab,C,Eb,Gb,
AbM7,Ab,C,Eb,G,
Abm7,Ab,Cb,Eb,Gb,
Absus,Ab,Db,Eb,
Absus7,Ab,Db,Eb,Gb,
Ab6,Ab,C,Eb,F,
Ab2,Ab,Bb,C,Eb,
A,A,C#,E,
Am,A,C,E,
A7,A,C#,E,G,
AM7,A,C#,E,G#,
Am7,A,C,E,G,
Asus,A,D,E,
Asus7,A,D,E,G,
A6,A,C#,E,F#,
A2,A,B,C#,E,
Bb,Bb,D,F,
Bbm,Bb,Db,F,
Bb7,Bb,D,F,Ab,
BbM7,Bb,D,F,A,
Bbm7,Bb,Db,F,Ab,
Bbsus,Bb,Eb,F,
Bbsus7,Bb,Eb,F,Ab,
Bb6,Bb,D,F,G,
Bb2,Bb,C,D,F,	
B,B,D#,F#,
Bm,B,D,F#,
B7,B,D#,F#,A,
BM7,B,D#,F#,A#,
Bm7,B,D,F#,A,
Bsus,B,E,F#,
Bsus7,B,E,F#,A,
B6,B,D#,F#,G#,
B2,B,C#,D#,F#,
